Period,Alcohol Type,Alcohol Sub Type,Alcohol Content,Clearance Origin,Value,Measure Type,Unit,Marker
month/2012-09,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
month/2012-09,made-wine,All,All,All,126748.6,clearances,hectolitres,
month/2012-10,made-wine,All,1.2% to 5.5% abv,All,60371.32,clearances,hectolitres,
month/2012-10,made-wine,Still,5.5% to 15% abv,All,44246.18,clearances,hectolitres,
month/2012-10,made-wine,Sparkling,5.5% to 15% abv,All,371.96,clearances,hectolitres,
month/2012-10,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
month/2012-10,made-wine,All,over 5.5% abv,Ex-ship,1241.03,clearances,hectolitres,
month/2012-10,made-wine,All,over 5.5% abv,Ex-warehouse,43377.11,clearances,hectolitres,
month/2012-10,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
month/2012-10,made-wine,All,All,All,104989.46,clearances,hectolitres,
month/2012-11,made-wine,All,1.2% to 5.5% abv,All,108290.62,clearances,hectolitres,
month/2012-11,made-wine,Still,5.5% to 15% abv,All,53054.91,clearances,hectolitres,
month/2012-11,made-wine,Sparkling,5.5% to 15% abv,All,359.88,clearances,hectolitres,
month/2012-11,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
month/2012-11,made-wine,All,over 5.5% abv,Ex-ship,1106.22,clearances,hectolitres,
month/2012-11,made-wine,All,over 5.5% abv,Ex-warehouse,52308.57,clearances,hectolitres,
month/2012-11,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
month/2012-11,made-wine,All,All,All,161705.42,clearances,hectolitres,
month/2012-12,made-wine,All,1.2% to 5.5% abv,All,85481.71,clearances,hectolitres,
month/2012-12,made-wine,Still,5.5% to 15% abv,All,37012.52,clearances,hectolitres,
month/2012-12,made-wine,Sparkling,5.5% to 15% abv,All,414.4,clearances,hectolitres,
month/2012-12,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
month/2012-12,made-wine,All,over 5.5% abv,Ex-ship,1350.53,clearances,hectolitres,
month/2012-12,made-wine,All,over 5.5% abv,Ex-warehouse,36076.39,clearances,hectolitres,
month/2012-12,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
month/2012-12,made-wine,All,All,All,122908.63,clearances,hectolitres,
month/2013-01,made-wine,All,1.2% to 5.5% abv,All,64489.91,clearances,hectolitres,
month/2013-01,made-wine,Still,5.5% to 15% abv,All,26116.53,clearances,hectolitres,
month/2013-01,made-wine,Sparkling,5.5% to 15% abv,All,820.5,clearances,hectolitres,
month/2013-01,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
month/2013-01,made-wine,All,over 5.5% abv,Ex-ship,1701.69,clearances,hectolitres,
month/2013-01,made-wine,All,over 5.5% abv,Ex-warehouse,25235.33,clearances,hectolitres,
month/2013-01,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
month/2013-01,made-wine,All,All,All,91426.93,clearances,hectolitres,
month/2013-02,made-wine,All,1.2% to 5.5% abv,All,67217.68,clearances,hectolitres,
month/2013-02,made-wine,Still,5.5% to 15% abv,All,23152.09,clearances,hectolitres,
month/2013-02,made-wine,Sparkling,5.5% to 15% abv,All,195.2,clearances,hectolitres,
month/2013-02,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
month/2013-02,made-wine,All,over 5.5% abv,Ex-ship,911.47,clearances,hectolitres,
month/2013-02,made-wine,All,over 5.5% abv,Ex-warehouse,22435.82,clearances,hectolitres,
month/2013-02,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
month/2013-02,made-wine,All,All,All,90564.97,clearances,hectolitres,
month/2013-03,made-wine,All,1.2% to 5.5% abv,All,141921.33,clearances,hectolitres,
month/2013-03,made-wine,Still,5.5% to 15% abv,All,43543.06,clearances,hectolitres,
month/2013-03,made-wine,Sparkling,5.5% to 15% abv,All,337.49,clearances,hectolitres,
month/2013-03,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
month/2013-03,made-wine,All,over 5.5% abv,Ex-ship,1161.9,clearances,hectolitres,
month/2013-03,made-wine,All,over 5.5% abv,Ex-warehouse,42718.65,clearances,hectolitres,
month/2013-03,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
month/2013-03,made-wine,All,All,All,185801.88,clearances,hectolitres,
month/2013-04,made-wine,All,1.2% to 5.5% abv,All,66710.39,clearances,hectolitres,
month/2013-04,made-wine,Still,5.5% to 15% abv,All,19517.44,clearances,hectolitres,
month/2013-04,made-wine,Sparkling,5.5% to 15% abv,All,260.3,clearances,hectolitres,
month/2013-04,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
month/2013-04,made-wine,All,over 5.5% abv,Ex-ship,927.83,clearances,hectolitres,
month/2013-04,made-wine,All,over 5.5% abv,Ex-warehouse,18849.91,clearances,hectolitres,
month/2013-04,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
month/2013-04,made-wine,All,All,All,86488.13,clearances,hectolitres,
month/2013-05,made-wine,All,1.2% to 5.5% abv,All,94219.18,clearances,hectolitres,
month/2013-05,made-wine,Still,5.5% to 15% abv,All,22672.53,clearances,hectolitres,
month/2013-05,made-wine,Sparkling,5.5% to 15% abv,All,308.45,clearances,hectolitres,
month/2013-05,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
month/2013-05,made-wine,All,over 5.5% abv,Ex-ship,1071.37,clearances,hectolitres,
month/2013-05,made-wine,All,over 5.5% abv,Ex-warehouse,21909.61,clearances,hectolitres,
month/2013-05,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
month/2013-05,made-wine,All,All,All,117200.16,clearances,hectolitres,
month/2013-06,made-wine,All,1.2% to 5.5% abv,All,131522.45,clearances,hectolitres,
month/2013-06,made-wine,Still,5.5% to 15% abv,All,29908.83,clearances,hectolitres,
month/2013-06,made-wine,Sparkling,5.5% to 15% abv,All,425.06,clearances,hectolitres,
month/2013-06,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
month/2013-06,made-wine,All,over 5.5% abv,Ex-ship,453.29,clearances,hectolitres,
month/2013-06,made-wine,All,over 5.5% abv,Ex-warehouse,29880.59,clearances,hectolitres,
month/2013-06,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
month/2013-06,made-wine,All,All,All,161856.33,clearances,hectolitres,
month/2013-07,made-wine,All,1.2% to 5.5% abv,All,201588.16,clearances,hectolitres,
month/2013-07,made-wine,Still,5.5% to 15% abv,All,42032.05,clearances,hectolitres,
month/2013-07,made-wine,Sparkling,5.5% to 15% abv,All,457.05,clearances,hectolitres,
month/2013-07,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
month/2013-07,made-wine,All,over 5.5% abv,Ex-ship,870.35,clearances,hectolitres,
month/2013-07,made-wine,All,over 5.5% abv,Ex-warehouse,41618.75,clearances,hectolitres,
month/2013-07,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
month/2013-07,made-wine,All,All,All,244077.26,clearances,hectolitres,
month/2013-08,made-wine,All,1.2% to 5.5% abv,All,162690.43,clearances,hectolitres,
month/2013-08,made-wine,Still,5.5% to 15% abv,All,39456.96,clearances,hectolitres,
month/2013-08,made-wine,Sparkling,5.5% to 15% abv,All,542.15,clearances,hectolitres,
month/2013-08,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
month/2013-08,made-wine,All,over 5.5% abv,Ex-ship,704.37,clearances,hectolitres,
month/2013-08,made-wine,All,over 5.5% abv,Ex-warehouse,39294.73,clearances,hectolitres,
month/2013-08,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
month/2013-08,made-wine,All,All,All,202689.54,clearances,hectolitres,
month/2013-09,made-wine,All,1.2% to 5.5% abv,All,123315.72,clearances,hectolitres,
month/2013-09,made-wine,Still,5.5% to 15% abv,All,37951.93,clearances,hectolitres,
month/2013-09,made-wine,Sparkling,5.5% to 15% abv,All,305.22,clearances,hectolitres,
month/2013-09,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
month/2013-09,made-wine,All,over 5.5% abv,Ex-ship,758.93,clearances,hectolitres,
month/2013-09,made-wine,All,over 5.5% abv,Ex-warehouse,37498.21,clearances,hectolitres,
month/2013-09,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
month/2013-09,made-wine,All,All,All,161572.86,clearances,hectolitres,
month/2013-10,made-wine,All,1.2% to 5.5% abv,All,108840.09,clearances,hectolitres,
month/2013-10,made-wine,Still,5.5% to 15% abv,All,49453.14,clearances,hectolitres,
month/2013-10,made-wine,Sparkling,5.5% to 15% abv,All,267.01,clearances,hectolitres,
month/2013-10,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
month/2013-10,made-wine,All,over 5.5% abv,Ex-ship,1226.36,clearances,hectolitres,
month/2013-10,made-wine,All,over 5.5% abv,Ex-warehouse,48493.79,clearances,hectolitres,
month/2013-10,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
month/2013-10,made-wine,All,All,All,158560.24,clearances,hectolitres,
month/2013-11,made-wine,All,1.2% to 5.5% abv,All,111735.01,clearances,hectolitres,
month/2013-11,made-wine,Still,5.5% to 15% abv,All,50367.52,clearances,hectolitres,
month/2013-11,made-wine,Sparkling,5.5% to 15% abv,All,368.28,clearances,hectolitres,
month/2013-11,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
month/2013-11,made-wine,All,over 5.5% abv,Ex-ship,1643.9,clearances,hectolitres,
month/2013-11,made-wine,All,over 5.5% abv,Ex-warehouse,49091.91,clearances,hectolitres,
month/2013-11,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
month/2013-11,made-wine,All,All,All,162470.82,clearances,hectolitres,
month/2013-12,made-wine,All,1.2% to 5.5% abv,All,120352.05,clearances,hectolitres,
month/2013-12,made-wine,Still,5.5% to 15% abv,All,37598.24,clearances,hectolitres,
month/2013-12,made-wine,Sparkling,5.5% to 15% abv,All,991.99,clearances,hectolitres,
month/2013-12,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
month/2013-12,made-wine,All,over 5.5% abv,Ex-ship,975.64,clearances,hectolitres,
month/2013-12,made-wine,All,over 5.5% abv,Ex-warehouse,37614.59,clearances,hectolitres,
month/2013-12,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
month/2013-12,made-wine,All,All,All,158942.28,clearances,hectolitres,
month/2014-01,made-wine,All,1.2% to 5.5% abv,All,74537.63,clearances,hectolitres,
month/2014-01,made-wine,Still,5.5% to 15% abv,All,27986.34,clearances,hectolitres,
month/2014-01,made-wine,Sparkling,5.5% to 15% abv,All,301.72,clearances,hectolitres,
month/2014-01,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
month/2014-01,made-wine,All,over 5.5% abv,Ex-ship,1616.79,clearances,hectolitres,
month/2014-01,made-wine,All,over 5.5% abv,Ex-warehouse,26671.28,clearances,hectolitres,
month/2014-01,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
month/2014-01,made-wine,All,All,All,102825.7,clearances,hectolitres,
month/2014-02,made-wine,All,1.2% to 5.5% abv,All,73243.06,clearances,hectolitres,
month/2014-02,made-wine,Still,5.5% to 15% abv,All,23490.03,clearances,hectolitres,
month/2014-02,made-wine,Sparkling,5.5% to 15% abv,All,308.87,clearances,hectolitres,
month/2014-02,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
month/2014-02,made-wine,All,over 5.5% abv,Ex-ship,809.29,clearances,hectolitres,
month/2014-02,made-wine,All,over 5.5% abv,Ex-warehouse,22989.61,clearances,hectolitres,
month/2014-02,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
month/2014-02,made-wine,All,All,All,97041.95,clearances,hectolitres,
month/2014-03,made-wine,All,1.2% to 5.5% abv,All,189162.0,clearances,hectolitres,
month/2014-03,made-wine,Still,5.5% to 15% abv,All,43878.12,clearances,hectolitres,
month/2014-03,made-wine,Sparkling,5.5% to 15% abv,All,780.74,clearances,hectolitres,
month/2014-03,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
month/2014-03,made-wine,All,over 5.5% abv,Ex-ship,1520.75,clearances,hectolitres,
month/2014-03,made-wine,All,over 5.5% abv,Ex-warehouse,43138.11,clearances,hectolitres,
month/2014-03,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
month/2014-03,made-wine,All,All,All,233820.86,clearances,hectolitres,
month/2014-04,made-wine,All,1.2% to 5.5% abv,All,103937.52,clearances,hectolitres,
month/2014-04,made-wine,Still,5.5% to 15% abv,All,23406.26,clearances,hectolitres,
month/2014-04,made-wine,Sparkling,5.5% to 15% abv,All,230.84,clearances,hectolitres,
month/2014-04,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
month/2014-04,made-wine,All,over 5.5% abv,Ex-ship,1288.72,clearances,hectolitres,
month/2014-04,made-wine,All,over 5.5% abv,Ex-warehouse,22348.38,clearances,hectolitres,
month/2014-04,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
month/2014-04,made-wine,All,All,All,127574.63,clearances,hectolitres,
month/2014-05,made-wine,All,1.2% to 5.5% abv,All,160988.4,clearances,hectolitres,
month/2014-05,made-wine,Still,5.5% to 15% abv,All,36546.97,clearances,hectolitres,
month/2014-05,made-wine,Sparkling,5.5% to 15% abv,All,383.16,clearances,hectolitres,
month/2014-05,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
month/2014-05,made-wine,All,over 5.5% abv,Ex-ship,1398.68,clearances,hectolitres,
month/2014-05,made-wine,All,over 5.5% abv,Ex-warehouse,35531.45,clearances,hectolitres,
month/2014-05,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
month/2014-05,made-wine,All,All,All,197918.53,clearances,hectolitres,
month/2014-06,made-wine,All,1.2% to 5.5% abv,All,206259.05,clearances,hectolitres,
month/2014-06,made-wine,Still,5.5% to 15% abv,All,39578.98,clearances,hectolitres,
month/2014-06,made-wine,Sparkling,5.5% to 15% abv,All,705.03,clearances,hectolitres,
month/2014-06,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
month/2014-06,made-wine,All,over 5.5% abv,Ex-ship,1246.98,clearances,hectolitres,
month/2014-06,made-wine,All,over 5.5% abv,Ex-warehouse,39037.02,clearances,hectolitres,
month/2014-06,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
month/2014-06,made-wine,All,All,All,246543.05,clearances,hectolitres,
month/2014-07,made-wine,All,1.2% to 5.5% abv,All,212832.35,clearances,hectolitres,
month/2014-07,made-wine,Still,5.5% to 15% abv,All,36336.87,clearances,hectolitres,
month/2014-07,made-wine,Sparkling,5.5% to 15% abv,All,427.62,clearances,hectolitres,
month/2014-07,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
month/2014-07,made-wine,All,over 5.5% abv,Ex-ship,1384.83,clearances,hectolitres,
month/2014-07,made-wine,All,over 5.5% abv,Ex-warehouse,35379.66,clearances,hectolitres,
month/2014-07,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
month/2014-07,made-wine,All,All,All,249596.84,clearances,hectolitres,
month/2014-08,made-wine,All,1.2% to 5.5% abv,All,167506.13,clearances,hectolitres,
month/2014-08,made-wine,Still,5.5% to 15% abv,All,40777.58,clearances,hectolitres,
month/2014-08,made-wine,Sparkling,5.5% to 15% abv,All,537.81,clearances,hectolitres,
month/2014-08,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
month/2014-08,made-wine,All,over 5.5% abv,Ex-ship,1011.35,clearances,hectolitres,
month/2014-08,made-wine,All,over 5.5% abv,Ex-warehouse,40304.04,clearances,hectolitres,
month/2014-08,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
month/2014-08,made-wine,All,All,All,208821.52,clearances,hectolitres,
month/2014-09,made-wine,All,1.2% to 5.5% abv,All,126319.09,clearances,hectolitres,
month/2014-09,made-wine,Still,5.5% to 15% abv,All,46103.95,clearances,hectolitres,
month/2014-09,made-wine,Sparkling,5.5% to 15% abv,All,631.6,clearances,hectolitres,
month/2014-09,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
month/2014-09,made-wine,All,over 5.5% abv,Ex-ship,1278.11,clearances,hectolitres,
month/2014-09,made-wine,All,over 5.5% abv,Ex-warehouse,45457.44,clearances,hectolitres,
month/2014-09,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
month/2014-09,made-wine,All,All,All,173054.64,clearances,hectolitres,
month/2014-10,made-wine,All,1.2% to 5.5% abv,All,117586.57,clearances,hectolitres,
month/2014-10,made-wine,Still,5.5% to 15% abv,All,43092.16,clearances,hectolitres,
month/2014-10,made-wine,Sparkling,5.5% to 15% abv,All,734.34,clearances,hectolitres,
month/2014-10,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
month/2014-10,made-wine,All,over 5.5% abv,Ex-ship,1490.34,clearances,hectolitres,
month/2014-10,made-wine,All,over 5.5% abv,Ex-warehouse,42336.16,clearances,hectolitres,
month/2014-10,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
month/2014-10,made-wine,All,All,All,161413.07,clearances,hectolitres,
month/2014-11,made-wine,All,1.2% to 5.5% abv,All,152603.73,clearances,hectolitres,
month/2014-11,made-wine,Still,5.5% to 15% abv,All,48655.78,clearances,hectolitres,
month/2014-11,made-wine,Sparkling,5.5% to 15% abv,All,974.12,clearances,hectolitres,
month/2014-11,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
month/2014-11,made-wine,All,over 5.5% abv,Ex-ship,2596.18,clearances,hectolitres,
month/2014-11,made-wine,All,over 5.5% abv,Ex-warehouse,47033.71,clearances,hectolitres,
month/2014-11,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
month/2014-11,made-wine,All,All,All,202233.63,clearances,hectolitres,
month/2014-12,made-wine,All,1.2% to 5.5% abv,All,130049.08,clearances,hectolitres,
month/2014-12,made-wine,Still,5.5% to 15% abv,All,55503.68,clearances,hectolitres,
month/2014-12,made-wine,Sparkling,5.5% to 15% abv,All,824.17,clearances,hectolitres,
month/2014-12,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
month/2014-12,made-wine,All,over 5.5% abv,Ex-ship,2879.61,clearances,hectolitres,
month/2014-12,made-wine,All,over 5.5% abv,Ex-warehouse,53448.23,clearances,hectolitres,
month/2014-12,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
month/2014-12,made-wine,All,All,All,186376.92,clearances,hectolitres,
month/2015-01,made-wine,All,1.2% to 5.5% abv,All,110253.8,clearances,hectolitres,
month/2015-01,made-wine,Still,5.5% to 15% abv,All,26210.1,clearances,hectolitres,
month/2015-01,made-wine,Sparkling,5.5% to 15% abv,All,856.92,clearances,hectolitres,
month/2015-01,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
month/2015-01,made-wine,All,over 5.5% abv,Ex-ship,1512.39,clearances,hectolitres,
month/2015-01,made-wine,All,over 5.5% abv,Ex-warehouse,25554.63,clearances,hectolitres,
month/2015-01,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
month/2015-01,made-wine,All,All,All,137320.83,clearances,hectolitres,
month/2015-02,made-wine,All,1.2% to 5.5% abv,All,94594.11,clearances,hectolitres,
month/2015-02,made-wine,Still,5.5% to 15% abv,All,27158.0,clearances,hectolitres,
month/2015-02,made-wine,Sparkling,5.5% to 15% abv,All,474.57,clearances,hectolitres,
month/2015-02,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
month/2015-02,made-wine,All,over 5.5% abv,Ex-ship,1752.78,clearances,hectolitres,
month/2015-02,made-wine,All,over 5.5% abv,Ex-warehouse,25879.79,clearances,hectolitres,
month/2015-02,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
month/2015-02,made-wine,All,All,All,122226.68,clearances,hectolitres,
month/2015-03,made-wine,All,1.2% to 5.5% abv,All,112571.6,clearances,hectolitres,
month/2015-03,made-wine,Still,5.5% to 15% abv,All,41374.85,clearances,hectolitres,
month/2015-03,made-wine,Sparkling,5.5% to 15% abv,All,715.46,clearances,hectolitres,
month/2015-03,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
month/2015-03,made-wine,All,over 5.5% abv,Ex-ship,1952.89,clearances,hectolitres,
month/2015-03,made-wine,All,over 5.5% abv,Ex-warehouse,40137.43,clearances,hectolitres,
month/2015-03,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
month/2015-03,made-wine,All,All,All,154661.92,clearances,hectolitres,
month/2015-04,made-wine,All,1.2% to 5.5% abv,All,213647.87,clearances,hectolitres,
month/2015-04,made-wine,Still,5.5% to 15% abv,All,30096.79,clearances,hectolitres,
month/2015-04,made-wine,Sparkling,5.5% to 15% abv,All,1052.3,clearances,hectolitres,
month/2015-04,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
month/2015-04,made-wine,All,over 5.5% abv,Ex-ship,2835.1,clearances,hectolitres,
month/2015-04,made-wine,All,over 5.5% abv,Ex-warehouse,28314.0,clearances,hectolitres,
month/2015-04,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
month/2015-04,made-wine,All,All,All,244796.97,clearances,hectolitres,
month/2015-05,made-wine,All,1.2% to 5.5% abv,All,178922.55,clearances,hectolitres,
month/2015-05,made-wine,Still,5.5% to 15% abv,All,38294.6,clearances,hectolitres,
month/2015-05,made-wine,Sparkling,5.5% to 15% abv,All,1177.26,clearances,hectolitres,
month/2015-05,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
month/2015-05,made-wine,All,over 5.5% abv,Ex-ship,1900.41,clearances,hectolitres,
month/2015-05,made-wine,All,over 5.5% abv,Ex-warehouse,37571.44,clearances,hectolitres,
month/2015-05,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
month/2015-05,made-wine,All,All,All,218394.41,clearances,hectolitres,
month/2015-06,made-wine,All,1.2% to 5.5% abv,All,203987.67,clearances,hectolitres,
month/2015-06,made-wine,Still,5.5% to 15% abv,All,42849.64,clearances,hectolitres,
month/2015-06,made-wine,Sparkling,5.5% to 15% abv,All,1292.53,clearances,hectolitres,
month/2015-06,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
month/2015-06,made-wine,All,over 5.5% abv,Ex-ship,2733.19,clearances,hectolitres,
month/2015-06,made-wine,All,over 5.5% abv,Ex-warehouse,41408.98,clearances,hectolitres,
month/2015-06,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
month/2015-06,made-wine,All,All,All,248129.84,clearances,hectolitres,
month/2015-07,made-wine,All,1.2% to 5.5% abv,All,222158.24,clearances,hectolitres,
month/2015-07,made-wine,Still,5.5% to 15% abv,All,48431.34,clearances,hectolitres,
month/2015-07,made-wine,Sparkling,5.5% to 15% abv,All,1492.34,clearances,hectolitres,
month/2015-07,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
month/2015-07,made-wine,All,over 5.5% abv,Ex-ship,3021.62,clearances,hectolitres,
month/2015-07,made-wine,All,over 5.5% abv,Ex-warehouse,46902.06,clearances,hectolitres,
month/2015-07,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
month/2015-07,made-wine,All,All,All,272081.91,clearances,hectolitres,
month/2015-08,made-wine,All,1.2% to 5.5% abv,All,186676.07,clearances,hectolitres,
month/2015-08,made-wine,Still,5.5% to 15% abv,All,45860.34,clearances,hectolitres,
month/2015-08,made-wine,Sparkling,5.5% to 15% abv,All,1054.07,clearances,hectolitres,
month/2015-08,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
month/2015-08,made-wine,All,over 5.5% abv,Ex-ship,1992.48,clearances,hectolitres,
month/2015-08,made-wine,All,over 5.5% abv,Ex-warehouse,44921.93,clearances,hectolitres,
month/2015-08,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
month/2015-08,made-wine,All,All,All,233590.48,clearances,hectolitres,
month/2015-09,made-wine,All,1.2% to 5.5% abv,All,107039.06,clearances,hectolitres,
month/2015-09,made-wine,Still,5.5% to 15% abv,All,43903.19,clearances,hectolitres,
month/2015-09,made-wine,Sparkling,5.5% to 15% abv,All,992.43,clearances,hectolitres,
month/2015-09,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
month/2015-09,made-wine,All,over 5.5% abv,Ex-ship,1490.49,clearances,hectolitres,
month/2015-09,made-wine,All,over 5.5% abv,Ex-warehouse,43405.12,clearances,hectolitres,
month/2015-09,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
month/2015-09,made-wine,All,All,All,151934.67,clearances,hectolitres,
month/2015-10,made-wine,All,1.2% to 5.5% abv,All,168992.72,clearances,hectolitres,
month/2015-10,made-wine,Still,5.5% to 15% abv,All,54399.63,clearances,hectolitres,
month/2015-10,made-wine,Sparkling,5.5% to 15% abv,All,733.85,clearances,hectolitres,
month/2015-10,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
month/2015-10,made-wine,All,over 5.5% abv,Ex-ship,1748.33,clearances,hectolitres,
month/2015-10,made-wine,All,over 5.5% abv,Ex-warehouse,53385.14,clearances,hectolitres,
month/2015-10,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
month/2015-10,made-wine,All,All,All,224126.2,clearances,hectolitres,
month/2015-11,made-wine,All,1.2% to 5.5% abv,All,205220.51,clearances,hectolitres,
month/2015-11,made-wine,Still,5.5% to 15% abv,All,49476.14,clearances,hectolitres,
month/2015-11,made-wine,Sparkling,5.5% to 15% abv,All,1625.22,clearances,hectolitres,
month/2015-11,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
month/2015-11,made-wine,All,over 5.5% abv,Ex-ship,2269.16,clearances,hectolitres,
month/2015-11,made-wine,All,over 5.5% abv,Ex-warehouse,48832.2,clearances,hectolitres,
month/2015-11,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
month/2015-11,made-wine,All,All,All,256321.88,clearances,hectolitres,
month/2015-12,made-wine,All,1.2% to 5.5% abv,All,146367.22,clearances,hectolitres,
month/2015-12,made-wine,Still,5.5% to 15% abv,All,41441.19,clearances,hectolitres,
month/2015-12,made-wine,Sparkling,5.5% to 15% abv,All,1038.2,clearances,hectolitres,
month/2015-12,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
month/2015-12,made-wine,All,over 5.5% abv,Ex-ship,1303.3,clearances,hectolitres,
month/2015-12,made-wine,All,over 5.5% abv,Ex-warehouse,41176.1,clearances,hectolitres,
month/2015-12,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
month/2015-12,made-wine,All,All,All,188846.61,clearances,hectolitres,
month/2016-01,made-wine,All,1.2% to 5.5% abv,All,126839.71,clearances,hectolitres,
month/2016-01,made-wine,Still,5.5% to 15% abv,All,30054.33,clearances,hectolitres,
month/2016-01,made-wine,Sparkling,5.5% to 15% abv,All,1050.39,clearances,hectolitres,
