Period,Alcohol Type,Alcohol Sub Type,Alcohol Content,Clearance Origin,Value,Measure Type,Unit,Marker
government-year/2011-2012,wine,All,All,All,13079466.26,clearances,hectolitres,
government-year/2011-2012,wine,All,All,All,3355.64,wine-duty-receipts,gbp-million,
government-year/2011-2012,wine,All,All,All,10036.21,alcohol-duty-receipts,gbp-million,
government-year/2012-2013,wine,Still,up to 15% abv,All,11678438.9,clearances,hectolitres,
government-year/2012-2013,wine,Sparkling,up to 15% abv,All,885309.28,clearances,hectolitres,
government-year/2012-2013,wine,All,over 15% abv,All,227882.41,clearances,hectolitres,
government-year/2012-2013,wine,All,over 5.5% abv,Ex-ship,4663586.8,clearances,hectolitres,
government-year/2012-2013,wine,All,over 5.5% abv,Ex-warehouse,8111596.89,clearances,hectolitres,
government-year/2012-2013,wine,All,over 5.5% abv,UK Origin,16446.92,clearances,hectolitres,
government-year/2012-2013,wine,All,All,All,12791630.6,clearances,hectolitres,
government-year/2012-2013,wine,All,All,All,3536.5,wine-duty-receipts,gbp-million,
government-year/2012-2013,wine,All,All,All,10219.24,alcohol-duty-receipts,gbp-million,
government-year/2013-2014,wine,Still,up to 15% abv,All,11434770.56,clearances,hectolitres,
government-year/2013-2014,wine,Sparkling,up to 15% abv,All,944161.29,clearances,hectolitres,
government-year/2013-2014,wine,All,over 15% abv,All,217682.81,clearances,hectolitres,
government-year/2013-2014,wine,All,over 5.5% abv,Ex-ship,4224200.97,clearances,hectolitres,
government-year/2013-2014,wine,All,over 5.5% abv,Ex-warehouse,8356139.72,clearances,hectolitres,
government-year/2013-2014,wine,All,over 5.5% abv,UK Origin,16273.98,clearances,hectolitres,
government-year/2013-2014,wine,All,All,All,12596614.67,clearances,hectolitres,
government-year/2013-2014,wine,All,All,All,3713.2,wine-duty-receipts,gbp-million,
government-year/2013-2014,wine,All,All,All,10455.27,alcohol-duty-receipts,gbp-million,
government-year/2014-2015,wine,Still,up to 15% abv,All,10922458.04,clearances,hectolitres,
government-year/2014-2015,wine,Sparkling,up to 15% abv,All,1144648.15,clearances,hectolitres,
government-year/2014-2015,wine,All,over 15% abv,All,192977.28,clearances,hectolitres,
government-year/2014-2015,wine,All,over 5.5% abv,Ex-ship,3958761.49,clearances,hectolitres,
government-year/2014-2015,wine,All,over 5.5% abv,Ex-warehouse,8281022.12,clearances,hectolitres,
government-year/2014-2015,wine,All,over 5.5% abv,UK Origin,20299.85,clearances,hectolitres,
government-year/2014-2015,wine,All,All,All,12260083.46,clearances,hectolitres,
government-year/2014-2015,wine,All,All,All,3836.69,wine-duty-receipts,gbp-million,
government-year/2014-2015,wine,All,All,All,10489.01,alcohol-duty-receipts,gbp-million,
government-year/2015-2016,wine,Still,up to 15% abv,All,11236512.4,clearances,hectolitres,
government-year/2015-2016,wine,Sparkling,up to 15% abv,All,1434536.0,clearances,hectolitres,
government-year/2015-2016,wine,All,over 15% abv,All,196672.93,clearances,hectolitres,
government-year/2015-2016,wine,All,over 5.5% abv,Ex-ship,3634225.22,clearances,hectolitres,
government-year/2015-2016,wine,All,over 5.5% abv,Ex-warehouse,9217758.93,clearances,hectolitres,
government-year/2015-2016,wine,All,over 5.5% abv,UK Origin,15737.17,clearances,hectolitres,
government-year/2015-2016,wine,All,All,All,12867721.33,clearances,hectolitres,
government-year/2015-2016,wine,All,All,All,3972.53,wine-duty-receipts,gbp-million,
government-year/2015-2016,wine,All,All,All,10686.16,alcohol-duty-receipts,gbp-million,
government-year/2016-2017,wine,Still,up to 15% abv,All,11226355.57,clearances,hectolitres,
government-year/2016-2017,wine,Sparkling,up to 15% abv,All,1563741.77,clearances,hectolitres,
government-year/2016-2017,wine,All,over 15% abv,All,209661.23,clearances,hectolitres,
government-year/2016-2017,wine,All,over 5.5% abv,Ex-ship,3400950.88,clearances,hectolitres,
government-year/2016-2017,wine,All,over 5.5% abv,Ex-warehouse,9579440.08,clearances,hectolitres,
government-year/2016-2017,wine,All,over 5.5% abv,UK Origin,19367.61,clearances,hectolitres,
