Year,Entrant,Song,Language,Marker,Measure,Observation,Units
1958,Alice Babs,Lilla stjärna,Swedish,,People on Stage,1,people
1959,Brita Borg,Augustin,Swedish,,People on Stage,1,people
1960,Siw Malmkvist,Alla andra får varann,Swedish,,People on Stage,1,people
1961,Lill-Babs,"April, april",Swedish,,People on Stage,1,people
1962,Inger Berggren,Sol och vår,Swedish,,People on Stage,1,people
1963,Monica Zetterlund,En gång i Stockholm,Swedish,,People on Stage,1,people
1965,Ingvar Wixell,Absent Friend,English,,People on Stage,1,people
1966,Lill Lindfors and Svante Thuresson,Nygammal vals,Swedish,,People on Stage,3,people
1967,Östen Warnerbring,Som en dröm,Swedish,,People on Stage,1,people
1968,Claes-Göran Hederström,"Det börjar verka kärlek, banne mig",Swedish,,People on Stage,1,people
1969,Tommy Körberg,"Judy, min vän",Swedish,,People on Stage,1,people
1971,Family Four,Vita vidder,Swedish,,People on Stage,4,people
1972,Family Four,Härliga sommardag,Swedish,,People on Stage,4,people
1973,The Nova and the Dolls,You're Summer,English,,People on Stage,5,people
1974,ABBA,Waterloo,English,,People on Stage,6,people
1975,Lars Berghagen and the Dolls,"Jennie, Jennie",English,,People on Stage,4,people
1977,Forbes,Beatles,Swedish,,People on Stage,6,people
1978,Björn Skifs,Det blir alltid värre framåt natten,Swedish,,People on Stage,3,people
1979,Ted Gärdestad,Satellit,Swedish,,People on Stage,5,people
1980,Tomas Ledin,Just nu!,Swedish,,People on Stage,5,people
1981,Björn Skifs,Fångad i en dröm,Swedish,,People on Stage,6,people
1982,Chips,Dag efter dag,Swedish,,People on Stage,6,people
1983,Carola,Främling,Swedish,,People on Stage,5,people
1984,Herreys,Diggi-Loo Diggi-Ley,Swedish,,People on Stage,6,people
1985,Kikki Danielsson,Bra vibrationer,Swedish,,People on Stage,6,people
1986,Monica Törnell and Lasse Holm,E' de' det här du kallar kärlek?,Swedish,,People on Stage,6,people
1987,Lotta Engberg,Boogaloo,Swedish,,People on Stage,6,people
1988,Tommy Körberg,Stad i ljus,Swedish,,People on Stage,2,people
1989,Tommy Nilsson,En dag,Swedish,,People on Stage,6,people
1990,Edin-Ådahl,Som en vind,Swedish,,People on Stage,6,people
1991,Carola,Fångad av en stormvind,Swedish,,People on Stage,6,people
1992,Christer Björkman,I morgon är en annan dag,Swedish,,People on Stage,4,people
1993,Arvingarna,Eloise,Swedish,,People on Stage,6,people
1994,Marie Bergman and Roger Pontare,Stjärnorna,Swedish,,People on Stage,2,people
1995,Jan Johansen,Se på mej,Swedish,,People on Stage,5,people
1996,One More Time,Den vilda,Swedish,,People on Stage,6,people
1997,Blond,Bara hon älskar mig,Swedish,,People on Stage,4,people
1998,Jill Johnson,Kärleken är,Swedish,,People on Stage,3,people
1999,Charlotte Nilsson,Take Me to Your Heaven,English,,People on Stage,6,people
2000,Roger Pontare,When Spirits Are Calling My Name,English,,People on Stage,6,people
2001,Friends,Listen to Your Heartbeat,English,,People on Stage,6,people
2002,Afro-dite,Never Let It Go,English,,People on Stage,6,people
2003,Fame,Give Me Your Love,English,,People on Stage,6,people
2004,Lena Philipsson,It Hurts,English,,People on Stage,6,people
2005,Martin Stenmarck,Las Vegas,English,,People on Stage,6,people
2006,Carola,Invincible,English,,People on Stage,6,people
2007,The Ark,The Worrying Kind,English,,People on Stage,6,people
2008,Charlotte Perrelli,Hero,English,,People on Stage,5,people
2009,Malena Ernman,La voix,"French, English",,People on Stage,6,people
2010,Anna Bergendahl,This Is My Life,English,Did not qualify for final,People on Stage,6,people
2011,Eric Saade,Popular,English,,People on Stage,6,people
2012,Loreen,Euphoria,English,,People on Stage,6,people
2013,Robin Stjernberg,You,English,,People on Stage,6,people
2014,Sanna Nielsen,Undo,English,,People on Stage,6,people
2015,Måns Zelmerlöw,Heroes,English,,People on Stage,6,people
2016,Frans,If I Were Sorry,English,,People on Stage,2,people
2017,Robin Bengtsson,I Can't Go On,English,,People on Stage,6,people
2018,Benjamin Ingrosso,Dance You Off,English,,People on Stage,6,people
2019,John Lundvik,Too Late for Love,English,,People on Stage,6,people
2020,The Mamas,Move,English,Contest cancelled,People on Stage,3,people
2021,Tusse,Voices,English,,People on Stage,6,people
